00685431013170090017429768;17429768;cwb_1211_jallcard;2013-11-12;0007;685431;ATOS SERVICOS DE T DA I DO B LTDA;AV TIRADENTES 1595;TERREO PARTE B PAV 1;86070545;JARDIM SHANGRI LA A;LONDRINA;PR;03103519000193;06327259000193; 
01307310013170090017392245;17392245;cwb_1211_tam_1312260;2013-11-12;0003;1307310;EMPRESA BRASILEIRA DE CORREIOS E TELEG;R JOAO NEGRAO 1251;;80002900;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
00921174013170090017385327;17385327;cwb_1211_tam_1312260;2013-11-12;0003;921174;IMTEP INST DE MEDICINA E SEGURANCA DO T;R EMILIANO PERNETA 297;21 AN;80010050;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00921174013170090017382598;17382598;cwb_1211_tam_1312260;2013-11-12;0003;921174;IMTEP INST DE MEDICINA E SEGURANCA DO T;R EMILIANO PERNETA 297;21 AN;80010050;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
01352043013170090017384361;17384361;cwb_1211_tam_1312260;2013-11-12;0003;1352043;SERVICO NAC. DE APRENDIZ. COMERCIAL;R ANDRE DE BARROS 750;;80010080;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
01352043013170090017386058;17386058;cwb_1211_tam_1312260;2013-11-12;0003;1352043;SERVICO NAC. DE APRENDIZ. COMERCIAL;R ANDRE DE BARROS 750;;80010080;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00807064013170090017385167;17385167;cwb_1211_tam_1312260;2013-11-12;0003;807064;COMERCIO DE MEDICAMENTOS MAEOKA LTDA;AL DR. MURICY 542;SJ;80010120;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
01111870013170090017407072;17407072;cwb_1211_tam_1312260;2013-11-12;0003;1111870;SOLVAY DO BRASIL LTDA;EST JOAO NEGRAO 731;SOBRELOJA;80010200;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00476755013170090017381908;17381908;cwb_1211_tam_1312260;2013-11-12;0003;476755;FUNDACAO DA UNIVERSID FEDERAL DO PARANA;R JOAO NEGRAO 280;;80010200;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00392592013170090017381842;17381842;cwb_1211_tam_1312260;2013-11-12;0003;392592;FUNDACAO DA UNIVERSID FEDERAL DO PARANA;R JOAO NEGRAO 280;;80010200;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00761366013170090017382100;17382100;cwb_1211_tam_1312260;2013-11-12;0003;761366;PAMPAPAR S A SERV DE TELECOM E ELETRICID;PC GEN-EX OSORIO 368;CJ 705 706;80020010;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00535870013170090017381963;17381963;cwb_1211_tam_1312260;2013-11-12;0003;535870;CANDEIAS ESPORTE LAZER E RECREACAO;R MAL DEODORO 469;AN 1;80020320;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
08021893013170090017413400;17413400;cwb_1211_tam_1312260;2013-11-12;0003;8021893;BRADO LOGISTICA S A;AV JOAO GUALBERTO 1740;AN 5;80030001;JUVEVE;CURITIBA;PR;03103519000193;06327259000193; 
01014329013170090017382796;17382796;cwb_1211_tam_1312260;2013-11-12;0003;1014329;GRUPO CINCO SISTEMAS INTEGRADOS DE SEGUR;R ITUPAVA 753;;80040000;ALTO DA RUA XV;CURITIBA;PR;03103519000193;06327259000193; 
08006700013170090017384845;17384845;cwb_1211_tam_1312260;2013-11-12;0003;8006700;ELO SERVICOS DE SEGURANCA E V LTDA;R 7 DE ABRIL 693;CJ 1;80045165;ALTO DA RUA XV;CURITIBA;PR;03103519000193;06327259000193; 
00837865013170090017404234;17404234;cwb_1211_tam_1312260;2013-11-12;0003;837865;CONSTRUTORA FONTANIVE LIMITADA;AV SEN SOUZA NAVES 1331;;80050040;ALTO DA RUA XV;CURITIBA;PR;03103519000193;06327259000193; 
00837865013170090017404263;17404263;cwb_1211_tam_1312260;2013-11-12;0003;837865;CONSTRUTORA FONTANIVE LIMITADA;AV SEN SOUZA NAVES 1331;;80050040;ALTO DA RUA XV;CURITIBA;PR;03103519000193;06327259000193; 
08000838013170090017386251;17386251;cwb_1211_tam_1312260;2013-11-12;0003;8000838;CENETEL COMERCIO DE HEADSETS LTDA EPP;R BENJAMIN CONSTANT 45;LOJA 01;80060020;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
01313730013170090017385926;17385926;cwb_1211_tam_1312260;2013-11-12;0003;1313730;ACO MINERACAO LTDA;R PRFA ANNETTE MACEDO 54;;80210360;JARDIM BOTANICO;CURITIBA;PR;03103519000193;06327259000193; 
01001232013170090017406240;17406240;cwb_1211_tam_1312260;2013-11-12;0003;1001232;METROSUL COML DE VEIC LTDA;AV MARECHAL FLORIANO PEIXOTO 3330;LOJA;80220000;PAROLIM;CURITIBA;PR;03103519000193;06327259000193; 
01046893013170090017382884;17382884;cwb_1211_tam_1312260;2013-11-12;0003;1046893;FLORENCA CAMINHOES SA;AV MAL-AR FLORIANO PEIXOTO 3501;;80220001;PAROLIN;CURITIBA;PR;03103519000193;06327259000193; 
00537734013170090017381965;17381965;cwb_1211_tam_1312260;2013-11-12;0003;537734;ASSOCIACAO DOS SERVIDORES DA UNIVERSIDAD;AV SETE DE SETEMBRO 3115;;80230010;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00831604013170090017415532;17415532;cwb_1211_tam_1312260;2013-11-12;0003;831604;MAVESUL VEICULOS LTDA;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
00833028013170090017415535;17415535;cwb_1211_tam_1312260;2013-11-12;0003;833028;DESPACHANTE CELESTINO LTDA;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
01297102013170090017418172;17418172;cwb_1211_tam_1312260;2013-11-12;0003;1297102;SERVOPA SA COMERCIO E INDUSTRIA;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
01353813013170090017418516;17418516;cwb_1211_tam_1312260;2013-11-12;0003;1353813;CARWAY SUL VEICULOS LTDA;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
00839017013170090017393110;17393110;cwb_1211_tam_1312260;2013-11-12;0003;839017;APTA VEIC E REPRESENTACOES COMERCIAIS LT;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
01235525013170090017417778;17417778;cwb_1211_tam_1312260;2013-11-12;0003;1235525;APTA VEICULOS E REPRESENTACOES COMERCIAI;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
