00643526005134740017285898;17285898;cwb_3010_semembarq;2013-10-30;0002;643526;COPEL GERACAO E TRANSMISSAO SA;AV TANCREDO NEVES 610;;78500000;CENTRO;COLIDER;MT;03103519000193;06327259000193; 
00921174013170090017254638;17254638;cwb_3110_tam_286432;2013-10-31;0003;921174;IMTEP INST DE MEDICINA E SEGURANCA DO T;R EMILIANO PERNETA 297;21 AN;80010050;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00921174013170090017248050;17248050;cwb_3110_tam_286432;2013-10-31;0003;921174;IMTEP INST DE MEDICINA E SEGURANCA DO T;R EMILIANO PERNETA 297;21 AN;80010050;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
01111870013170090017255569;17255569;cwb_3110_tam_286432;2013-10-31;0003;1111870;SOLVAY DO BRASIL LTDA;EST JOAO NEGRAO 731;SOBRELOJA;80010200;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
01126618013170090017301843;17301843;cwb_3110_tam_286432;2013-10-31;0003;1126618;SERVICES ASSESSORIA E COBRANCAS LTDA;R MAL-AR DEODORO 314;CJ 601 A 606;80010908;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
08000188013170090017258308;17258308;cwb_3110_tam_286432;2013-10-31;0003;8000188;SINDICATO EMP SERV CONT ASSES PERICIAS;R MAL-AR DEODORO 500;;80010911;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
08000188013170090017252674;17252674;cwb_3110_tam_286432;2013-10-31;0003;8000188;SINDICATO EMP SERV CONT ASSES PERICIAS;R MAL-AR DEODORO 500;;80010911;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00915758013170090017254605;17254605;cwb_3110_tam_286432;2013-10-31;0003;915758;CONSELHO REGIONAL DE NUTRICIONISTAS DA O;R MAL-AR DEODORO 630;;80010912;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00528266013170090017246347;17246347;cwb_3110_tam_286432;2013-10-31;0003;528266;ECOVERDE CORRETORA DE SEGUROS LTDA;R MAL DEODORO 630;CJ 2306;80010912;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00528266013170090017253497;17253497;cwb_3110_tam_286432;2013-10-31;0003;528266;ECOVERDE CORRETORA DE SEGUROS LTDA;R MAL DEODORO 630;CJ 2306;80010912;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
08006340013170090017258658;17258658;cwb_3110_tam_286432;2013-10-31;0003;8006340;ASSOCIACAO ALIRIO PFIFFER;R BR DO SERRO AZUL 288;10 ANDAR, APT. 1001;80020180;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00943329013170090017254805;17254805;cwb_3110_tam_286432;2013-10-31;0003;943329;CALCADAO COMERCIO DE CHOCOLATES LTDA;R XV DE NOVEMBRO 35;;80020310;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00804773013170090017247149;17247149;cwb_3110_tam_286432;2013-10-31;0003;804773;EMBRAPOL SUL BRASILEIRA LTDA;R MAL FLORIANO PEIXOTO 51;204 A;80020320;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
08013669013170090017259012;17259012;cwb_3110_tam_286432;2013-10-31;0003;8013669;CLAIR DA FLORA MARTINS ADVOG ASSOC S C;R 15 DE NOVEMBRO 467;;80020934;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00841559013170090017254396;17254396;cwb_3110_tam_286432;2013-10-31;0003;841559;CAPITAL REALTY INFRA ESTRUTURA LOGISTICA;AV JOAO GUALBERTO 1259;AN 2 ANEXO 201 E 202;80030001;ALTO DA GLORIA;CURITIBA;PR;03103519000193;06327259000193; 
08013246013170090017258988;17258988;cwb_3110_tam_286432;2013-10-31;0003;8013246;GUILHERME GRUMMT WOLF ADVOG ASSOC;AV JOAO GUALBERTO 1259;ANADAR 20;80030001;JUVEVE;CURITIBA;PR;03103519000193;06327259000193; 
00841560013170090017288893;17288893;cwb_3110_tam_286432;2013-10-31;0003;841560;CAPITAL REALTY INFRA E L LTDA;AV JOAO GUALBERTO 1259;AN 2 ANEXO 201 E 202;80030001;ALTO DA GLORIA;CURITIBA;PR;03103519000193;06327259000193; 
00841559013170090017247678;17247678;cwb_3110_tam_286432;2013-10-31;0003;841559;CAPITAL REALTY INFRA ESTRUTURA LOGISTICA;AV JOAO GUALBERTO 1259;AN 2 ANEXO 201 E 202;80030001;ALTO DA GLORIA;CURITIBA;PR;03103519000193;06327259000193; 
01121215013170090017255672;17255672;cwb_3110_tam_286432;2013-10-31;0003;1121215;TANGUA PATRIMONIAL LTDA;AV MUNHOZ DA ROCHA 903;LJ;80035000;CABRAL;CURITIBA;PR;03103519000193;06327259000193; 
01014506013170090017255071;17255071;cwb_3110_tam_286432;2013-10-31;0003;1014506;NICARAGUA INCORPORADORA LTDA;AV MUNHOZ DA ROCHA 903;;80035000;CABRAL;CURITIBA;PR;03103519000193;06327259000193; 
08016751013170090017253210;17253210;cwb_3110_tam_286432;2013-10-31;0003;8016751;FOBRAS COMERCIAL LTDA;R BENJAMIN CONSTANT 608;;80060020;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
08009977013170090017253042;17253042;cwb_3110_tam_286432;2013-10-31;0003;8009977;J C P ENGENHARIA E CONSTRUCOES LTDA;R BENJAMIN CONSTANT 67;SALA 804 ANDAR 8;80060020;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00839496013170090017247629;17247629;cwb_3110_tam_286432;2013-10-31;0003;839496;CENTAURO VIDA E PREVIDENCIA SA;R NILO CAIRO 171;;80060050;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00839496013170090017254369;17254369;cwb_3110_tam_286432;2013-10-31;0003;839496;CENTAURO VIDA E PREVIDENCIA SA;R NILO CAIRO 171;;80060050;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00839496013170090017254368;17254368;cwb_3110_tam_286432;2013-10-31;0003;839496;CENTAURO VIDA E PREVIDENCIA SA;R NILO CAIRO 171;;80060050;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00839496013170090017247630;17247630;cwb_3110_tam_286432;2013-10-31;0003;839496;CENTAURO VIDA E PREVIDENCIA SA;R NILO CAIRO 171;;80060050;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
01387696013170090017252532;17252532;cwb_3110_tam_286432;2013-10-31;0003;1387696;ROCHAMAR AGENCIA MARITIMA SA;R CNSO ARAUJO 143;ANDAR 14, CONJ 144;80060230;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
01387696013170090017258200;17258200;cwb_3110_tam_286432;2013-10-31;0003;1387696;ROCHAMAR AGENCIA MARITIMA SA;R CNSO ARAUJO 143;ANDAR 14, CONJ 144;80060230;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00943553013170090017254808;17254808;cwb_3110_tam_286432;2013-10-31;0003;943553;MUELLER COMERCIO DE CHOCOLATES LTDA;AV PREF OMAR SABBAG 460;CASA CORREIO;80210000;JARDIM BOTANICO;CURITIBA;PR;03103519000193;06327259000193; 
00943566013170090017254810;17254810;cwb_3110_tam_286432;2013-10-31;0003;943566;BARIGUI COMERCIO DE CHOCOLATES LTDA;AV PREF OMAR SABBAG 460;CASA CORREIO;80210000;JARDIM BOTANICO;CURITIBA;PR;03103519000193;06327259000193; 
01149765013170090017255911;17255911;cwb_3110_tam_286432;2013-10-31;0003;1149765;MARECHAL COM DE CHOCOLATES LTDA EPP;AV PREF OMAR SABBAG 460;;80210000;JARDIM BOTANICO;CURITIBA;PR;03103519000193;06327259000193; 
08013011013170090017258980;17258980;cwb_3110_tam_286432;2013-10-31;0003;8013011;TOP LIVROS DISTRIBUIDORA DE LIVROS LTDA;R FRANCISCO NUNES 1563;;80215000;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
08004887013170090017258543;17258543;cwb_3110_tam_286432;2013-10-31;0003;8004887;ROFORTE IMP E COM DE ROLAMENTOS LTDA;R CHILE 635;;80215170;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
08000212013170090017252675;17252675;cwb_3110_tam_286432;2013-10-31;0003;8000212;FEDERACAO DAS ASSOCIACOES DE PAIS E AMIG;AV SILVA JARDIM 4326;;80240021;AGUA VERDE;CURITIBA;PR;03103519000193;06327259000193; 
08004897013170090017258545;17258545;cwb_3110_tam_286432;2013-10-31;0003;8004897;CLINICA DO JOELHO CURITIBA LTDA;AV PRES GETULIO VARGAS 3066;;80240041;AGUA VERDE;CURITIBA;PR;03103519000193;06327259000193; 
08006360013170090017258659;17258659;cwb_3110_tam_286432;2013-10-31;0003;8006360;DENT PLUS CL ODONTOLOGICA LTDA;R DR. ALEXANDRE GUTIERREZ 749;;80240130;AGUA VERDE;CURITIBA;PR;03103519000193;06327259000193; 
01152641013170090017249705;17249705;cwb_3110_tam_286432;2013-10-31;0003;1152641;AUTOPLAN PARTICIPACOES E E LTDA;R BELO HORIZONTE 145;CASA;80240310;BATEL;CURITIBA;PR;03103519000193;06327259000193; 
01152641013170090017255938;17255938;cwb_3110_tam_286432;2013-10-31;0003;1152641;AUTOPLAN PARTICIPACOES E E LTDA;R BELO HORIZONTE 145;CASA;80240310;BATEL;CURITIBA;PR;03103519000193;06327259000193; 
00411986013170090017253408;17253408;cwb_3110_tam_286432;2013-10-31;0003;411986;SIND TRABS INDS METAL MEC MAT ELET DA GR;R LAMENHA LINS 981;;80250020;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00411986013170090017253407;17253407;cwb_3110_tam_286432;2013-10-31;0003;411986;SIND TRABS INDS METAL MEC MAT ELET DA GR;R LAMENHA LINS 981;;80250020;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
01250194013170090017256653;17256653;cwb_3110_tam_286432;2013-10-31;0003;1250194;DELOITTE OUTSOURCING SUL SERV. CONT. LTD;R PASTEUR 463;1 AN;80250104;AGUA VERDE;CURITIBA;PR;03103519000193;06327259000193; 
01106127013170090017301520;17301520;cwb_3110_tam_286432;2013-10-31;0003;1106127;DAJU COMERCIO DE TECIDOS LTDA;R ALM. GONCALVES 2486;;80250150;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
00817425013170090017247296;17247296;cwb_3110_tam_286432;2013-10-31;0003;817425;FUNDACAO FRANCISCO COSTANTINI;R PEDRO COLLERE 890;;80320320;VILA IZABEL;CURITIBA;PR;03103519000193;06327259000193; 
08019504013170090017259139;17259139;cwb_3110_tam_286432;2013-10-31;0003;8019504;C J EST LTDA;AL DR. CARLOS DE CARVALHO 428;;80410180;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
08006407013170090017258660;17258660;cwb_3110_tam_286432;2013-10-31;0003;8006407;SAO BERNARDO EMPREENDIMENTOS S.A;R EMILIANO PERNETA 680;12. ANDAR, SALA: 1208;80420080;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
01050427013170090017255215;17255215;cwb_3110_tam_286432;2013-10-31;0003;1050427;X1 TECNOLOGIAS LTDA;R EMILIANO PERNETA 466;CJ 1202 AN 12 COND CENTRO SECULO XXI;80420080;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
01159327013170090017255968;17255968;cwb_3110_tam_286432;2013-10-31;0003;1159327;BRASLIFT EQTOS.E LOGISTICA LTDA;AV DO BATEL 1920;1ª ANDAR;80420090;BATEL;CURITIBA;PR;03103519000193;06327259000193; 
00605893013170090017298279;17298279;cwb_3110_tam_286432;2013-10-31;0003;605893;SALVA SERV MEDS DE EMERGENCIA LTDA;AV BATEL 1473;;80420090;BATEL;CURITIBA;PR;03103519000193;06327259000193; 
00563637013170090017253551;17253551;cwb_3110_tam_286432;2013-10-31;0003;563637;NOVAFROTA EQUIPAMENTOS SA;AV DO BATEL 1920;AN 1;80420090;BATEL;CURITIBA;PR;03103519000193;06327259000193; 
01159327013170090017249740;17249740;cwb_3110_tam_286432;2013-10-31;0003;1159327;BRASLIFT EQTOS.E LOGISTICA LTDA;AV DO BATEL 1920;1ª ANDAR;80420090;BATEL;CURITIBA;PR;03103519000193;06327259000193; 
08018687013170090017259131;17259131;cwb_3110_tam_286432;2013-10-31;0003;8018687;GRISARD SABBAG MORAES E LIMA ADVOG ASSOC;R VSC. DO RIO BRANCO 1358;11 ANDAR;80420210;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
00591758013170090017253561;17253561;cwb_3110_tam_286432;2013-10-31;0003;591758;UEG ARAUCARIA LTDA;R VISCONDE DO RIO BRANCO 1341;9 ANDAR;80420210;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
08004891013170090017258544;17258544;cwb_3110_tam_286432;2013-10-31;0003;8004891;UNIDADE DE NEUROLOGIA CL LTDA;R PE ANCHIETA 155;;80430060;MERCES;CURITIBA;PR;03103519000193;06327259000193; 
08008295013170090017258738;17258738;cwb_3110_tam_286432;2013-10-31;0003;8008295;ALLIANCE AGENCIA DE TUR LTDA ME;AL DR. CARLOS DE CARVALHO 1059;;80430180;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
08001634013170090017258444;17258444;cwb_3110_tam_286432;2013-10-31;0003;8001634;CURITIBA CARTORIO DISTRITAL DE STA QUITE;AV N SRA APARECIDA 305;CJ 12 E 13;80440000;SEMINARIO;CURITIBA;PR;03103519000193;06327259000193; 
00771648013170090017253838;17253838;cwb_3110_tam_286432;2013-10-31;0003;771648;SERVICO SOCIAL DA INDUSTRIA SESI;AV CANDIDO DE ABREU 200;SL 324 AN 3;80530902;CENTRO CIVICO;CURITIBA;PR;03103519000193;06327259000193; 
00771648013170090017253837;17253837;cwb_3110_tam_286432;2013-10-31;0003;771648;SERVICO SOCIAL DA INDUSTRIA SESI;AV CANDIDO DE ABREU 200;SL 324 AN 3;80530902;CENTRO CIVICO;CURITIBA;PR;03103519000193;06327259000193; 
01036513013170090017248719;17248719;cwb_3110_tam_286432;2013-10-31;0003;1036513;FEDERACAO DAS I DO ESTADO DO PARANA;AV CANDIDO DE ABREU 200;6 AND;80530902;CENTRO CIVICO;CURITIBA;PR;03103519000193;06327259000193; 
00392546013170090017246136;17246136;cwb_3110_tam_286432;2013-10-31;0003;392546;SERVICO NACIONAL DE A I SENAI;AV CANDIDO DE ABREU 200;ANDES 1E2;80530902;CENTRO CIVICO;CURITIBA;PR;03103519000193;06327259000193; 
00771648013170090017246833;17246833;cwb_3110_tam_286432;2013-10-31;0003;771648;SERVICO SOCIAL DA INDUSTRIA SESI;AV CANDIDO DE ABREU 200;SL 324 AN 3;80530902;CENTRO CIVICO;CURITIBA;PR;03103519000193;06327259000193; 
00776972013170090017253851;17253851;cwb_3110_tam_286432;2013-10-31;0003;776972;INSTITUTO EUVALDO LODI N R DO PARANA;AV CANDIDO DE ABREU 200;SL 324 AN 3;80530902;CENTRO CIVICO;CURITIBA;PR;03103519000193;06327259000193; 
00392546013170090017246135;17246135;cwb_3110_tam_286432;2013-10-31;0003;392546;SERVICO NACIONAL DE A I SENAI;AV CANDIDO DE ABREU 200;ANDES 1E2;80530902;CENTRO CIVICO;CURITIBA;PR;03103519000193;06327259000193; 
00776972013170090017246859;17246859;cwb_3110_tam_286432;2013-10-31;0003;776972;INSTITUTO EUVALDO LODI N R DO PARANA;AV CANDIDO DE ABREU 200;SL 324 AN 3;80530902;CENTRO CIVICO;CURITIBA;PR;03103519000193;06327259000193; 
00771648013170090017246832;17246832;cwb_3110_tam_286432;2013-10-31;0003;771648;SERVICO SOCIAL DA INDUSTRIA SESI;AV CANDIDO DE ABREU 200;SL 324 AN 3;80530902;CENTRO CIVICO;CURITIBA;PR;03103519000193;06327259000193; 
01036513013170090017255166;17255166;cwb_3110_tam_286432;2013-10-31;0003;1036513;FEDERACAO DAS I DO ESTADO DO PARANA;AV CANDIDO DE ABREU 200;6 AND;80530902;CENTRO CIVICO;CURITIBA;PR;03103519000193;06327259000193; 
00392546013170090017253300;17253300;cwb_3110_tam_286432;2013-10-31;0003;392546;SERVICO NACIONAL DE A I SENAI;AV CANDIDO DE ABREU 200;ANDES 1E2;80530902;CENTRO CIVICO;CURITIBA;PR;03103519000193;06327259000193; 
00392546013170090017253301;17253301;cwb_3110_tam_286432;2013-10-31;0003;392546;SERVICO NACIONAL DE A I SENAI;AV CANDIDO DE ABREU 200;ANDES 1E2;80530902;CENTRO CIVICO;CURITIBA;PR;03103519000193;06327259000193; 
01036513013170090017248720;17248720;cwb_3110_tam_286432;2013-10-31;0003;1036513;FEDERACAO DAS I DO ESTADO DO PARANA;AV CANDIDO DE ABREU 200;6 AND;80530902;CENTRO CIVICO;CURITIBA;PR;03103519000193;06327259000193; 
08013314013170090017258990;17258990;cwb_3110_tam_286432;2013-10-31;0003;8013314;BACELLAR E ANDRADE ADVOGADOS ASSOCIADOS;R EURIPEDES GARCEZ DO NASCIMENTO 818;;80540280;AHU;CURITIBA;PR;03103519000193;06327259000193; 
00539039013170090017246384;17246384;cwb_3110_tam_286432;2013-10-31;0003;539039;HOSPITAL E MATERNIDADE STA BRIGIDA S/A;R GUILHERME RUSGLEY 1705;;80620000;AGUA VERDE;CURITIBA;PR;03103519000193;06327259000193; 
01293518013170090017289387;17289387;cwb_3110_tam_286432;2013-10-31;0003;1293518;INCORPORARE EMPREENDIMENTOS I LTDA;AL PRCA IZABEL 1808;;80730080;BIGORRILHO;CURITIBA;PR;03103519000193;06327259000193; 
01293518013170090017287840;17287840;cwb_3110_tam_286432;2013-10-31;0003;1293518;INCORPORARE EMPREENDIMENTOS I LTDA;AL PRCA IZABEL 1808;;80730080;BIGORRILHO;CURITIBA;PR;03103519000193;06327259000193; 
01013950013170090017255069;17255069;cwb_3110_tam_286432;2013-10-31;0003;1013950;ACV TECLINE ENGENHARIA LTDA;R TEN. JOAO GOMES DA SILVA 746;;80810100;MERCES;CURITIBA;PR;03103519000193;06327259000193; 
00600249013170090017298167;17298167;cwb_3110_tam_286432;2013-10-31;0003;600249;NOSSA SAUDE OPERADORA DE PLANOS PRIVADOS;R JULIO PERNETA 71;;80810110;MERCES;CURITIBA;PR;03103519000193;06327259000193; 
01387767013170090017258201;17258201;cwb_3110_tam_286432;2013-10-31;0003;1387767;COMERCIAL ELETRICA DW S/A;R JOAO BETTEGA 2281;;81070001;PORTAO;CURITIBA;PR;03103519000193;06327259000193; 
01356500013170090017257842;17257842;cwb_3110_tam_286432;2013-10-31;0003;1356500;COMERCIAL ELETRICA DW S/A;R JOAO BETTEGA 2281;;81070001;PORTAO;CURITIBA;PR;03103519000193;06327259000193; 
01285796013170090017289379;17289379;cwb_3110_tam_286432;2013-10-31;0003;1285796;COMERCIAL ELETRICA DW S/A;R JOAO BETTEGA 2281;;81070001;PORTAO;CURITIBA;PR;03103519000193;06327259000193; 
01387789013170090017258202;17258202;cwb_3110_tam_286432;2013-10-31;0003;1387789;COMERCIAL ELETRICA DW S/A;R JOAO BETTEGA 2281;;81070001;PORTAO;CURITIBA;PR;03103519000193;06327259000193; 
01285813013170090017256969;17256969;cwb_3110_tam_286432;2013-10-31;0003;1285813;COMERCIAL ELETRICA DW SA;R JOAO BETTEGA 2281;;81070001;PORTAO;CURITIBA;PR;03103519000193;06327259000193; 
01159325013170090017255967;17255967;cwb_3110_tam_286432;2013-10-31;0003;1159325;PIEMONTE CONSTRUCOES E INCORPORACOES LTD;R WINSTON CHURCHILL 1824;;81130000;PINHEIRINHO;CURITIBA;PR;03103519000193;06327259000193; 
00842536013170090017286960;17286960;cwb_3110_tam_286432;2013-10-31;0003;842536;IRAN NOGUEIRA SILVA;R ERNESTO BISCARDI 880;;81130090;CAPAO RASO;CURITIBA;PR;03103519000193;06327259000193; 
00810320013170090017247196;17247196;cwb_3110_tam_286432;2013-10-31;0003;810320;BANCO CNH CAPITAL S A;CX CAIXA POSTAL 10804;;81170150;CIDADE INDUSTRIAL;CURITIBA;PR;03103519000193;06327259000193; 
01327367013170090017251567;17251567;cwb_3110_tam_286432;2013-10-31;0003;1327367;MASTER OPERACOES PORTUARIAS LTDA;R DEP HEITOR ALENCAR FURTADO 3100;;81200110;MOSSUNGUE;CURITIBA;PR;03103519000193;06327259000193; 
00551218013170090017246433;17246433;cwb_3110_tam_286432;2013-10-31;0003;551218;VIAPLAN ENGENHARIA LTDA;AV JUSCELINO K DE OLIVEIRA 6777;;81250160;CIDADE INDUSTRIAL;CURITIBA;PR;03103519000193;06327259000193; 
08014158013170090017253173;17253173;cwb_3110_tam_286432;2013-10-31;0003;8014158;VOLVO DO BRASIL VEIC LTDA;AV JUSCELINO KUBITSCHEK OLIVEIRA 2600;LAT.DIREITA;81260900;CIDADE INDUSTRIAL;CURITIBA;PR;03103519000193;06327259000193; 
08014158013170090017253175;17253175;cwb_3110_tam_286432;2013-10-31;0003;8014158;VOLVO DO BRASIL VEIC LTDA;AV JUSCELINO KUBITSCHEK OLIVEIRA 2600;LAT.DIREITA;81260900;CIDADE INDUSTRIAL;CURITIBA;PR;03103519000193;06327259000193; 
08014158013170090017253174;17253174;cwb_3110_tam_286432;2013-10-31;0003;8014158;VOLVO DO BRASIL VEIC LTDA;AV JUSCELINO KUBITSCHEK OLIVEIRA 2600;LAT.DIREITA;81260900;CIDADE INDUSTRIAL;CURITIBA;PR;03103519000193;06327259000193; 
00538220013170090017298057;17298057;cwb_3110_tam_286432;2013-10-31;0003;538220;SERDIA ELETRONICA INDUSTRIAL LTDA;R JOSE ALTAIR POSSEBOM 435;PRQ SOFTWARE;81290000;CIC;CURITIBA;PR;03103519000193;06327259000193; 
08002373013170090017252796;17252796;cwb_3110_tam_286432;2013-10-31;0003;8002373;NICROM METALIZACAO LTDA;R BENEDITO CAROLLO 960;;81290060;CIDADE INDUSTRIAL;CURITIBA;PR;03103519000193;06327259000193; 
00836588013170090017254327;17254327;cwb_3110_tam_286432;2013-10-31;0003;836588;DIPLOMATA DISTRIBUICAO E VAREJO LTDA;R S BRAS 116;11904 LINHA VERDE;81305250;CIDADE INDUSTRIAL;CURITIBA;PR;03103519000193;06327259000193; 
00836588013170090017254328;17254328;cwb_3110_tam_286432;2013-10-31;0003;836588;DIPLOMATA DISTRIBUICAO E VAREJO LTDA;R S BRAS 116;11904 LINHA VERDE;81305250;CIDADE INDUSTRIAL;CURITIBA;PR;03103519000193;06327259000193; 
00412363013170090017275067;17275067;cwb_3110_tam_286432;2013-10-31;0003;412363;CARGOLIFT LOGISTICA S/A;R ARTHUR MARTINS FRANCO 880;;81350100;CIDADE INDUSTRIAL;CURITIBA;PR;03103519000193;06327259000193; 
00412363013170090017266607;17266607;cwb_3110_tam_286432;2013-10-31;0003;412363;CARGOLIFT LOGISTICA S/A;R ARTHUR MARTINS FRANCO 880;;81350100;CIDADE INDUSTRIAL;CURITIBA;PR;03103519000193;06327259000193; 
00804290013170090017247146;17247146;cwb_3110_tam_286432;2013-10-31;0003;804290;CNH LATIN AMERICA LTDA;AV JUSCELINO KUBITSCHEK OLIVEIRA 11825;;81450903;CIC;CURITIBA;PR;03103519000193;06327259000193; 
00845057013170090017254433;17254433;cwb_3110_tam_286432;2013-10-31;0003;845057;DEBORA DE SOUZA KUSS - EPP;AV CDOR FRANCO 5665;;81560000;UBERABA;CURITIBA;PR;03103519000193;06327259000193; 
00845057013170090017247733;17247733;cwb_3110_tam_286432;2013-10-31;0003;845057;DEBORA DE SOUZA KUSS - EPP;AV CDOR FRANCO 5665;;81560000;UBERABA;CURITIBA;PR;03103519000193;06327259000193; 
01346262013170090017305110;17305110;cwb_3110_tam_286432;2013-10-31;0003;1346262;TECNOGRAN BRASIL IND COM ART CIM. LTDA;R JOSE HAUER 525;TERREO;81580330;UBERABA;CURITIBA;PR;03103519000193;06327259000193; 
00836773013170090017263791;17263791;cwb_3110_tam_286432;2013-10-31;0003;836773;SCHUMAR CONSTRUCOES LTDA;R VICTOR MEIRELES 628;;81580480;UBERABA;CURITIBA;PR;03103519000193;06327259000193; 
00606562013170090017246643;17246643;cwb_3110_tam_286432;2013-10-31;0003;606562;BALAROTI COM DE MAT DE CONSTRUCAO S A;R WALDEMAR KOST 701;;81610100;VILA HAUER;CURITIBA;PR;03103519000193;06327259000193; 
00828881013170090017254238;17254238;cwb_3110_tam_286432;2013-10-31;0003;828881;IFORTIX INSTALACOES E CONSTRUCOES LTDA;R PAULO SETUBAL 174;;81630110;HAUER;CURITIBA;PR;03103519000193;06327259000193; 
00828881013170090017247452;17247452;cwb_3110_tam_286432;2013-10-31;0003;828881;IFORTIX INSTALACOES E CONSTRUCOES LTDA;R PAULO SETUBAL 174;;81630110;HAUER;CURITIBA;PR;03103519000193;06327259000193; 
00954452013170090017254882;17254882;cwb_3110_tam_286432;2013-10-31;0003;954452;DISPANSUL IND E COM LTDA;R ENG JOAO BLEY FILHO 560;;81870370;PINHEIRINHO;CURITIBA;PR;03103519000193;06327259000193; 
00842487013170090017254414;17254414;cwb_3110_tam_286432;2013-10-31;0003;842487;RAPIDO TRANSPAULO LTDA;R ANGELA GABARDO PAROLIN 901;BLOCO 03;81945020;CAMPO DE SANTANA;CURITIBA;PR;03103519000193;06327259000193; 
00913937013170090017299941;17299941;cwb_3110_tam_286432;2013-10-31;0003;913937;CONSULTLOG SERV DE CONTROLE DE TRAFEGO L;R VENEZUELA 469;;82510100;BACACHERI;CURITIBA;PR;03103519000193;06327259000193; 
